tensor(2.6196, grad_fn=<DivBackward0>)
tensor(3.9190, grad_fn=<DivBackward0>)
tensor(1.7979, grad_fn=<DivBackward0>)
tensor(3.2014, grad_fn=<DivBackward0>)
tensor(2.7382, grad_fn=<DivBackward0>)
tensor(3.6533, grad_fn=<DivBackward0>)
tensor(2.1560, grad_fn=<DivBackward0>)
tensor(4.0747, grad_fn=<DivBackward0>)
tensor(5.0158, grad_fn=<DivBackward0>)
tensor(2.4929, grad_fn=<DivBackward0>)
tensor(3.5807, grad_fn=<DivBackward0>)
tensor(2.4791, grad_fn=<DivBackward0>)
tensor(2.5703, grad_fn=<DivBackward0>)
tensor(2.9459, grad_fn=<DivBackward0>)
tensor(2.6601, grad_fn=<DivBackward0>)
tensor(2.5408, grad_fn=<DivBackward0>)
tensor(2.7285, grad_fn=<DivBackward0>)
tensor(2.5924, grad_fn=<DivBackward0>)
tensor(2.4317, grad_fn=<DivBackward0>)
tensor(2.7706, grad_fn=<DivBackward0>)
tensor(2.2963, grad_fn=<DivBackward0>)
tensor(2.7289, grad_fn=<DivBackward0>)
tensor(2.2978, grad_fn=<DivBackward0>)
tensor(2.6274, grad_fn=<DivBackward0>)
tensor(2.2020, grad_fn=<DivBackward0>)
tensor(2.5936, grad_fn=<DivBackward0>)
tensor(2.1064, grad_fn=<DivBackward0>)
tensor(2.8390, grad_fn=<DivBackward0>)
tensor(2.1032, grad_fn=<DivBackward0>)
tensor(2.7601, grad_fn=<DivBackward0>)
tensor(1.9697, grad_fn=<DivBackward0>)
tensor(2.8064, grad_fn=<DivBackward0>)
tensor(1.8873, grad_fn=<DivBackward0>)
tensor(2.4164, grad_fn=<DivBackward0>)
tensor(2.2118, grad_fn=<DivBackward0>)
tensor(2.3983, grad_fn=<DivBackward0>)
tensor(2.1065, grad_fn=<DivBackward0>)
tensor(2.6641, grad_fn=<DivBackward0>)
tensor(1.8203, grad_fn=<DivBackward0>)
tensor(2.7382, grad_fn=<DivBackward0>)
tensor(2.0080, grad_fn=<DivBackward0>)
tensor(2.4965, grad_fn=<DivBackward0>)
tensor(2.0306, grad_fn=<DivBackward0>)
tensor(2.5649, grad_fn=<DivBackward0>)
tensor(2.1391, grad_fn=<DivBackward0>)
tensor(2.3356, grad_fn=<DivBackward0>)
tensor(2.0496, grad_fn=<DivBackward0>)
tensor(2.6850, grad_fn=<DivBackward0>)
tensor(1.8854, grad_fn=<DivBackward0>)
tensor(2.3439, grad_fn=<DivBackward0>)
tensor(1.9910, grad_fn=<DivBackward0>)
tensor(2.6017, grad_fn=<DivBackward0>)
tensor(1.6794, grad_fn=<DivBackward0>)
tensor(2.3841, grad_fn=<DivBackward0>)
tensor(1.7773, grad_fn=<DivBackward0>)
tensor(3.1613, grad_fn=<DivBackward0>)
tensor(2.0329, grad_fn=<DivBackward0>)
tensor(3.1895, grad_fn=<DivBackward0>)
tensor(2.1771, grad_fn=<DivBackward0>)
tensor(2.8160, grad_fn=<DivBackward0>)
tensor(1.7688, grad_fn=<DivBackward0>)
tensor(2.9546, grad_fn=<DivBackward0>)
tensor(2.2952, grad_fn=<DivBackward0>)
tensor(2.7142, grad_fn=<DivBackward0>)
tensor(1.8612, grad_fn=<DivBackward0>)
tensor(2.5586, grad_fn=<DivBackward0>)
tensor(2.1000, grad_fn=<DivBackward0>)
tensor(2.3855, grad_fn=<DivBackward0>)
tensor(1.9164, grad_fn=<DivBackward0>)
tensor(2.2824, grad_fn=<DivBackward0>)
tensor(2.1905, grad_fn=<DivBackward0>)
tensor(2.2291, grad_fn=<DivBackward0>)
tensor(2.0973, grad_fn=<DivBackward0>)
tensor(2.3313, grad_fn=<DivBackward0>)
tensor(2.1517, grad_fn=<DivBackward0>)
tensor(1.9994, grad_fn=<DivBackward0>)
tensor(2.0855, grad_fn=<DivBackward0>)
tensor(2.3763, grad_fn=<DivBackward0>)
tensor(2.4992, grad_fn=<DivBackward0>)
tensor(2.2734, grad_fn=<DivBackward0>)
tensor(1.7995, grad_fn=<DivBackward0>)
tensor(2.3616, grad_fn=<DivBackward0>)
tensor(2.0920, grad_fn=<DivBackward0>)
tensor(1.9994, grad_fn=<DivBackward0>)
tensor(2.2959, grad_fn=<DivBackward0>)
tensor(2.0626, grad_fn=<DivBackward0>)
tensor(2.0892, grad_fn=<DivBackward0>)
tensor(1.8957, grad_fn=<DivBackward0>)
